[label]	assay_label	pubmedID
myocardial miR-122 expression was inversely correlated with TGF-beta1 in all AS patients 	transfection 60	PubMed 24168656
negative correlations were observed between SPTLC1 and miR-124	qRT-PCR 68	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-124	Western blot 68	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-124	qRT-PCR 67	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-124	Western blot 67	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-124	qRT-PCR 66	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-124	Western blot 66	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	qRT-PCR 194	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	Western blot 194	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	qRT-PCR 192	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	Western blot 192	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	qRT-PCR 191	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	Western blot 191	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	qRT-PCR 193	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-137	Western blot 193	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-15a	qRT-PCR 301	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-15a	Western blot 301	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-15a	qRT-PCR 302	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-15a	Western blot 302	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	qRT-PCR 347	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	Western blot 347	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	qRT-PCR 344	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	Western blot 344	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	qRT-PCR 345	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	Western blot 345	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	qRT-PCR 346	PubMed 21994399
negative correlations were observed between SPTLC1 and miR-181c	Western blot 346	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29a	qRT-PCR 748	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29a	Western blot 748	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29a	qRT-PCR 746	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29a	Western blot 746	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29a	qRT-PCR 747	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29a	Western blot 747	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29b-1	qRT-PCR 762	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29b-1	Western blot 762	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29b-1	qRT-PCR 761	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29b-1	Western blot 761	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29b-1	qRT-PCR 763	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-29b-1	Western blot 763	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-9	qRT-PCR 976	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-9	Western blot 976	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-9	qRT-PCR 977	PubMed 21994399
negative correlations were observed between SPTLC2 and miR-9	Western blot 977	PubMed 21994399
repression of Myc by miR-34c following DNA damage	western blot 867	PubMed 20212154
repression of Myc by miR-34c following DNA damage	qPCR 867	PubMed 20212154
silenced HuD in bTC6 cells resulted in insulin2 translation upregulation by miR-196b 	luciferase assay 392	PubMed 25003985
silenced HuD in bTC6 cells resulted in insulin2 translation upregulation by miR-196b 	western blot 392	PubMed 25003985
silenced HuD in bTC6 cells resulted in insulin2 translation upregulation by miR-196b 	transfection 392	PubMed 25003985
stimuli decreased the luciferase activity in ECs transfected with KLF2	luciferase assays 988	PubMed 25550450
stimuli decreased the luciferase activity in ECs transfected with KLF4	luciferase assays 989	PubMed 25550450
suppression of endogenous miR-22 using miR-22 specific antagonist significantly reduced SA-beta- Gal positive cell number 	SA-beta- Gal staining 586	PubMed 22538858
the downregulation of miR-29 correlated with the upregulation of COL1A1 in the infarcted region	Northern blot 728	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL1A1 in the infarcted region	real time PCR 728	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL1A1 in the infarcted region	luciferase assay 728	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL1A2 in the infarcted region	Northern blot 729	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL1A2 in the infarcted region	real time PCR 729	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL1A2 in the infarcted region	luciferase assay 729	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL3A1 in the infarcted region	Northern blot 730	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL3A1 in the infarcted region	real time PCR 730	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of COL3A1 in the infarcted region	luciferase assay 730	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of FBN in the infarcted region	Northern blot 727	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of FBN in the infarcted region	real time PCR 727	PubMed 18723672
the downregulation of miR-29 correlated with the upregulation of FBN in the infarcted region	luciferase assay 727	PubMed 18723672
the downregulation of miR-29 increased in the remote myocardium	Northern blot 726	PubMed 18723672
the downregulation of miR-29 increased in the remote myocardium	real time PCR 726	PubMed 18723672
the downregulation of miR-29 increased in the remote myocardium	luciferase assay 726	PubMed 18723672
the expression of TGF-beta1 protein decreased in HDFs transfected with miR-122 	transfection 59	PubMed 24168656
the expression of TGF-beta1 protein decreased in HDFs transfected with miR-122 	western blot 59	PubMed 24168656
the expression of TGF-beta1 protein increased in HDFs transfected with anti-miR-122 	transfection 60	PubMed 24168656
the expression of TGF-beta1 protein increased in HDFs transfected with anti-miR-122 	western blot 60	PubMed 24168656
the expression of phospho-NF-kB p65 induced by ox-LDL was inhibited by the hsa-let-7g 	Western blot 1005	PubMed 22956623
there is a let-7g binding site on the 3'-untranslated region of LOX-1 mRNA	Western blot 1002	PubMed 22956623
